Model,Accuracy,Precision,Recall,F1 Score,AUC-ROC
Logistic Regression,0.485,0.5257731958762887,0.4722222222222222,0.4975609756097561,0.49818840579710144
Random Forest,0.505,0.5420560747663551,0.5370370370370371,0.5395348837209303,0.5326086956521738
